Tiempo,CPU,RAM,Temp,Corriente (mA)
0,10.1,19.5,31.154,293.9634146341463
0,5.0,19.5,30.667,317.5609756097561
1,2.5,19.5,31.154,327.7134146341463
1,3.5,19.5,31.641,272.9268292682927
2,5.5,19.5,30.667,264.2378048780488
2,5.0,19.5,30.667,267.1646341463414
3,5.0,19.5,30.18,297.9878048780488
3,5.0,19.5,30.667,260.6707317073171
4,5.5,19.5,29.693,264.8780487804878
4,4.0,19.5,30.18,252.0731707317073
5,6.0,19.5,29.206,310.609756097561
5,12.6,20.1,31.154,280.8841463414634
6,33.5,24.1,30.667,341.1585365853659
6,24.6,27.2,31.154,324.42073170731703
7,29.1,25.2,31.641,350.8536585365853
7,16.6,21.1,31.154,349.5731707317073
8,18.6,21.4,30.667,352.5914634146342
8,3.5,21.2,31.154,285.54878048780483
9,16.4,21.2,31.154,292.4085365853659
9,44.2,24.3,31.154,303.3841463414634
10,25.0,30.8,32.128,325.609756097561
10,25.0,37.4,29.693,319.0243902439024
11,25.0,37.4,31.641,358.4451219512195
11,25.6,37.4,32.615,343.0792682926829
12,27.3,26.8,32.128,346.0975609756097
12,34.0,27.6,31.641,348.0182926829268
13,5.5,20.4,31.641,400.8841463414634
13,3.5,20.3,31.154,300.8231707317073
14,7.0,20.3,32.128,293.140243902439
14,40.7,23.1,32.128,332.4695121951219
15,24.6,29.5,32.615,331.0060975609756
15,25.2,33.6,32.128,353.5060975609756
16,25.0,33.6,32.615,329.54268292682923
16,27.0,26.7,31.641,353.780487804878
17,22.1,21.9,33.102,357.8048780487805
17,8.0,21.5,32.615,322.04268292682923
18,22.5,20.3,31.641,382.8658536585366
18,31.2,22.4,32.615,321.5853658536586
19,24.9,28.0,32.128,330.4573170731707
19,25.1,28.0,32.615,323.3231707317073
20,26.4,22.8,31.641,323.9634146341464
20,7.5,21.3,31.641,303.5670731707317
21,3.5,21.3,32.128,289.8475609756098
21,7.5,21.0,32.128,281.9817073170732
22,9.0,21.0,32.128,367.5
22,17.1,21.0,31.641,343.9939024390244
23,14.1,21.0,32.128,308.9634146341463
23,16.6,20.9,32.128,276.4024390243903
24,3.5,20.9,31.641,274.7560975609756
24,4.0,20.9,32.128,286.1890243902439
25,3.0,20.9,31.154,274.57317073170736
25,3.5,20.9,32.128,280.609756097561
26,5.5,20.9,30.18,273.6585365853659
26,5.5,20.9,31.154,304.0243902439024
27,6.5,20.9,31.154,300.9146341463414
27,5.0,20.8,30.667,285.0914634146342
28,5.1,20.8,30.18,280.0609756097561
28,5.0,20.7,31.154,300.2743902439025
29,5.5,20.7,31.641,295.9756097560975
29,5.5,20.6,30.667,311.6158536585366
30,5.0,20.6,31.154,266.1585365853659
30,6.0,20.6,29.693,305.6707317073171
31,5.5,20.5,29.206,273.2012195121951
31,5.0,20.5,31.154,327.9878048780488
32,6.0,20.5,29.206,274.39024390243907
32,5.0,20.4,31.154,270.640243902439
33,6.5,20.4,30.667,289.2987804878049
33,5.5,20.3,30.18,281.5243902439024
34,5.0,20.3,30.18,303.8414634146341
34,6.0,20.3,29.693,280.9756097560976
35,5.0,20.3,31.154,267.8048780487805
35,5.5,20.2,30.667,313.719512195122
36,18.5,20.2,30.18,283.7195121951219
36,14.0,20.2,29.693,314.6341463414634
37,31.0,25.7,31.154,351.859756097561
37,25.1,25.9,31.154,319.7560975609756
38,25.0,24.6,33.102,326.98170731707313
38,25.0,24.6,31.641,333.109756097561
39,45.0,28.3,32.128,317.1951219512195
39,25.0,33.0,33.102,343.3536585365854
40,25.0,38.8,32.615,332.2865853658536
40,25.0,38.8,32.128,339.4207317073171
41,25.0,38.8,31.641,330.2743902439024
41,34.3,28.2,32.128,323.4146341463415
42,23.4,27.2,32.128,330.0
42,25.6,20.4,33.102,334.7560975609756
43,24.4,21.8,32.128,318.2926829268293
43,17.9,21.7,32.615,349.1158536585366
